,time,low,high,open,close,volume,price_change,average_price,volatitlity,product_id
73,2021-10-15,56867.11,62910.0,57359.51,61695.39,27105.19764492,4335.879999999997,59888.555,10.626335679798041,BTC-USD
74,2021-10-14,56832.32,58520.71,57367.32,57359.51,12198.02457938,-7.809999999997672,57676.515,2.9708271631353416,BTC-USD
75,2021-10-13,54236.09,57771.33,56005.1,57367.32,14691.01338574,1362.2200000000012,56003.71,6.518242742056084,BTC-USD
76,2021-10-12,53873.78,57674.55,57485.97,56005.1,15457.00896085,-1480.8700000000026,55774.165,7.054953262978771,BTC-USD
77,2021-10-11,54411.54,57833.23,54683.09,57487.44,13422.42081815,2804.350000000006,56122.385,6.288537321310887,BTC-USD
78,2021-10-10,54112.95,56545.24,54963.29,54690.53,9370.1912382,-272.76000000000204,55329.095,4.494839035757616,BTC-USD
79,2021-10-09,53675.0,55500.0,53965.18,54962.29,7123.05512404,997.1100000000006,54587.5,3.400093153237075,BTC-USD
80,2021-10-08,53634.41,56113.0,53805.46,53963.82,12416.9019906,158.36000000000058,54873.705,4.621268323824195,BTC-USD
81,2021-10-07,53379.0,55356.85,55346.95,53797.82,15820.83417633,-1549.1299999999974,54367.925,3.705296090222744,BTC-USD
82,2021-10-06,50416.01,55757.11,51499.77,55339.48,25869.64925998,3839.7100000000064,53086.56,10.594055340753856,BTC-USD
83,2021-10-05,49057.18,51906.23,49244.13,51493.99,17828.59726658,2249.8600000000006,50481.705,5.807610629065924,BTC-USD
84,2021-10-04,46916.7,49505.0,48233.99,49245.54,13938.64182971,1011.5500000000029,48210.85,5.516798922345354,BTC-USD
85,2021-10-03,47120.11,49300.0,47663.74,48233.99,7989.25925892,570.25,48210.055,4.626241322441733,BTC-USD
86,2021-10-02,47451.0,48359.33,48165.76,47657.69,7262.63442143,-508.0699999999997,47905.165,1.9142483825419943,BTC-USD
87,2021-10-01,43287.44,48500.0,43828.89,48165.76,20095.33155568,4336.870000000003,45893.72,12.041737741940842,BTC-USD
88,2021-09-30,41409.67,44110.17,41519.11,43824.43,12835.9838101,2305.3199999999997,42759.92,6.521423619169147,BTC-USD
89,2021-09-29,40750.12,42638.99,41030.19,41522.16,10303.30152312,491.97000000000116,41694.555,4.635250153864566,BTC-USD
90,2021-09-28,40897.7,42780.0,42166.31,41026.07,10491.81363045,-1140.239999999998,41838.85,4.602459307002602,BTC-USD
91,2021-09-27,42111.0,44366.96,43172.17,42171.76,10094.77099806,-1000.4099999999962,43238.979999999996,5.357175084894681,BTC-USD
92,2021-09-26,40803.0,43937.0,42705.51,43178.02,9971.64545213,472.50999999999476,42370.0,7.6808077837413915,BTC-USD
93,2021-09-25,41675.0,42998.76,42848.44,42705.51,7383.32390261,-142.9300000000003,42336.880000000005,3.1763887222555542,BTC-USD
94,2021-09-24,40683.29,45200.0,44896.55,42848.92,22451.57711462,-2047.6300000000047,42941.645000000004,11.102125713038447,BTC-USD
95,2021-09-23,43096.73,45000.0,43575.19,44897.59,13446.87468684,1322.3999999999942,44048.365000000005,4.416274738245794,BTC-USD
96,2021-09-22,40570.42,44035.44,40736.81,43575.1,19462.53865157,2838.290000000001,42302.93,8.540754569462194,BTC-USD
97,2021-09-21,39600.0,43639.88,43007.69,40719.6,27275.33818249,-2288.090000000004,41619.94,10.201717171717165,BTC-USD
98,2021-09-20,42500.0,47358.92,47253.71,43012.97,27706.67636162,-4240.739999999998,44929.46,11.432752941176465,BTC-USD
99,2021-09-19,46850.87,48379.19,48309.86,47255.92,7086.34626236,-1053.9400000000023,47615.03,3.2620952396401592,BTC-USD
100,2021-09-18,47050.0,48825.62,47306.87,48314.56,7491.03449237,1007.689999999995,47937.81,3.7739001062699313,BTC-USD
101,2021-09-17,46752.67,48176.64,47753.15,47303.5,9088.56956453,-449.65000000000146,47464.655,3.045751183836134,BTC-USD
102,2021-09-16,47020.82,48499.99,48144.03,47753.16,11739.27966629,-390.86999999999534,47760.405,3.1457767006189985,BTC-USD
103,2021-09-15,46705.0,48475.0,47127.81,48148.12,12139.84206628,1020.310000000005,47590.0,3.789744138743175,BTC-USD
104,2021-09-14,44679.92,47274.92,44953.23,47127.22,12644.16435358,2173.989999999998,45977.42,5.807978170059391,BTC-USD
105,2021-09-13,43465.0,46900.0,46027.8,44947.72,15015.30289712,-1080.0800000000017,45182.5,7.902910387668238,BTC-USD
106,2021-09-12,44754.31,46462.98,45173.66,46024.23,6499.85821749,850.5699999999997,45608.645000000004,3.817889271446718,BTC-USD
107,2021-09-11,44730.29,45989.94,44850.37,45171.83,6207.38337004,321.4599999999991,45360.115000000005,2.8161006780863738,BTC-USD
108,2021-09-10,44140.48,47040.76,46396.26,44851.45,14905.54795341,-1544.810000000005,45590.62,6.570567424731219,BTC-USD
109,2021-09-09,45511.82,47400.0,46059.94,46400.0,13594.64633403,340.0599999999977,46455.91,4.148768385883052,BTC-USD
110,2021-09-08,44423.49,47381.47,46894.49,46060.36,19624.55093117,-834.1299999999974,45902.479999999996,6.658594360776254,BTC-USD
111,2021-09-07,42830.77,52944.96,52698.8,46894.5,29022.815351,-5804.300000000003,47887.865,23.614308124743037,BTC-USD
112,2021-09-06,51020.08,52802.03,51789.17,52698.81,9571.75471136,909.6399999999994,51911.055,3.492644464689191,BTC-USD
113,2021-09-05,49500.0,51907.08,49944.89,51789.17,7743.93472308,1844.2799999999988,50703.54,4.862787878787882,BTC-USD
114,2021-09-04,49400.0,50558.75,50025.0,49942.98,7595.48816499,-82.0199999999968,49979.375,2.345647773279352,BTC-USD
115,2021-09-03,48349.66,51064.44,49279.38,50025.0,14577.22621879,745.6200000000026,49707.05,5.614889535934687,BTC-USD
116,2021-09-02,48620.73,50392.19,48834.27,49279.37,14120.3826407,445.1000000000058,49506.46000000001,3.6434253455264844,BTC-USD
117,2021-09-01,46537.62,49125.0,47110.33,48839.86,13010.83839478,1729.5299999999988,47831.31,5.559760039297234,BTC-USD
118,2021-08-31,46708.93,48259.68,46996.8,47112.5,12919.43970212,115.69999999999709,47484.305,3.3200289537782175,BTC-USD
119,2021-08-30,46866.0,48906.51,48802.58,46993.71,12249.23741495,-1808.8700000000026,47886.255000000005,4.353923953399057,BTC-USD
120,2021-08-29,47801.0,49667.1,48942.89,48802.58,6935.09511006,-140.30999999999767,48734.05,3.903893223991127,BTC-USD
121,2021-08-28,48370.0,49309.83,49081.08,48942.94,4895.70191319,-138.13999999999942,48839.915,1.943001860657436,BTC-USD
122,2021-08-27,46361.01,49185.12,46851.47,49077.57,8924.12247655,2226.0999999999985,47773.065,6.091562716170334,BTC-USD
123,2021-08-26,46315.48,49365.1,48991.57,46851.47,11651.34373853,-2140.0999999999985,47840.29,6.584450814284976,BTC-USD
124,2021-08-25,47122.02,49277.0,47682.45,48987.33,9289.23177109,1304.8800000000047,48199.509999999995,4.573191047412661,BTC-USD
125,2021-08-24,47600.0,49875.9,49504.53,47682.45,12068.33823315,-1822.0800000000017,48737.95,4.781302521008406,BTC-USD
126,2021-08-23,49012.84,50505.0,49284.38,49506.5,10824.26838095,222.12000000000262,49758.92,3.0444267257314688,BTC-USD
127,2021-08-22,48102.89,49526.13,48870.21,49284.63,6243.39643384,414.41999999999825,48814.509999999995,2.9587411484008506,BTC-USD
128,2021-08-21,48285.28,49821.92,49349.99,48867.02,9574.83615164,-482.97000000000116,49053.6,3.1824191554858947,BTC-USD
129,2021-08-20,46644.95,49400.0,46769.02,49342.4,13184.67048641,2573.3800000000047,48022.475,5.90642716950067,BTC-USD
130,2021-08-19,43955.0,47088.08,44709.1,46765.87,11938.12185013,2056.770000000004,45521.54,7.12792628824935,BTC-USD
131,2021-08-18,44216.47,46035.27,44675.34,44707.98,10327.49887365,32.640000000006694,45125.869999999995,4.113399373581824,BTC-USD
